"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Lifetime Exposure to IPV Year 2","Child TL Z-score Year 2","678","0","1","0.3","0.17","-0.13 (-0.28, 0.02)","0.08","0.33"
"4","","","","","","","","","",""
"5","Exposure to IPV in Past 12 Months Year 2","Child TL Z-score Year 2","381","0","1","-0.06","-0.14","-0.08 (-0.3, 0.13)","0.47","0.6"
"6","Exposure to IPV in Past 12 Months Year 2","Change in Child TL Z-Score","287","0","1","0.17","0.18","0.01 (-0.24, 0.27)","0.94","0.99"
"7","","","","","","","","","",""
"8","Exposure to IPV during Pregnancy","Child TL Z-score Year 2","366","0","1","0.03","-0.16","-0.19 (-0.43, 0.05)","0.13","0.33"
"9","","Child TL Z-score Year 1","291","0","1","0","-0.13","-0.13 (-0.43, 0.17)","0.41","0.6"
"10","","Change in Child TL Z-Score","279","0","1","0.26","-0.06","-0.32 (-0.64, -0.01)","0.05","0.33"
"11","","","","","","","","","",""
"12","Exposure to IPV in Past 12 Months Year 1","Child TL Z-score Year 2","381","0","1","-0.11","-0.25","-0.14 (-0.35, 0.07)","0.2","0.36"
"13","","Child TL Z-score Year 1","302","0","1","-0.07","-0.08","0 (-0.25, 0.25)","0.99","0.99"
"14","","Change in Child TL Z-Score","287","0","1","0.26","0.06","-0.19 (-0.45, 0.07)","0.15","0.33"
