"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Lifetime Exposure to Emotional Violence Year 2","Telomere length Z-score Year 1","541","0","1","0.04","0.05","0 (-0.17, 0.18)","0.96"
"4","","Telomere length Z-score Year 2","678","0","1","0.23","0.19","-0.04 (-0.19, 0.11)","0.6"
"5","","Change in Telomere length Z-Score","524","0","1","0.26","0.26","-0.01 (-0.18, 0.17)","0.95"
"6","","","","","","","","",""
"7","Lifetime Exposure to Physical Violence Year 2","Telomere length Z-score Year 1","541","0","1","0.09","0","-0.09 (-0.26, 0.07)","0.27"
"8","","Telomere length Z-score Year 2","678","0","1","0.28","0.16","-0.12 (-0.27, 0.03)","0.12"
"9","","Change in Telomere length Z-Score","524","0","1","0.29","0.22","-0.07 (-0.24, 0.1)","0.41"
"10","","","","","","","","",""
"11","Lifetime Exposure to Sexual Violence Year 2","Telomere length Z-score Year 1","541","0","1","0.04","0.05","0 (-0.2, 0.2)","0.98"
"12","","Telomere length Z-score Year 2","678","0","1","0.27","0.12","-0.15 (-0.33, 0.02)","0.09"
"13","","Change in Telomere length Z-Score","524","0","1","0.27","0.22","-0.05 (-0.25, 0.16)","0.65"
